Brand,Dress_Description,Retail_price,Rent_price,Number_of_reviews,cotton,nylon,cellulose,silk,spandex,tencel,rayon,linen,cashmere,wool,leather,polyester,metallic_fibers,Length,Sleeves,Neckline
derek lam collective,drawstring waist sleeveless dress,300,40,39,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,cap_sleeves,v_neckline
stine goya,dreamscape camilla dress,460,41,50,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,long_sleeves,v_neckline
jonathan simkhai,prudence strappy linen maxi,445,70,6,0,0,0,0,0,0,45,55,0,0,0,0,0,maxi,sleeveless,scoop_neckline
j.crew,conway dress,118,30,39,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,v_neckline
figue,lucie dress,545,61,71,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,long_sleeves,crew_neckline
milly,brinlee paisley dress,375,55,1,97,0,0,0,3,0,0,0,0,0,0,0,0,mini,sleeveless,one_shoulder
paco rabanne,floral ruched mini dress,810,120,2,0,0,0,0,10,0,90,0,0,0,0,0,0,mini,short_sleeves,crew_neckline
ulla johnson,printed indah dress,445,60,57,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,crew_neckline
banjanan,green iris dress,330,30,64,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,cap_sleeves,crew_neckline
sea new york,daria tie dye dress,395,33,23,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,high_neckline
tory burch,embroidered yellow dress,548,65,90,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,boat_neckline
louna,floral ruffle dress,140,30,1,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,sleeveless,v_neckline
alexis,jaila dress,485,60,51,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,v_neckline
misa los angeles,rania maxi,365,48,32,0,0,0,0,0,0,100,0,0,0,0,0,0,unknown,long_sleeves,high_neckline
hofmann copenhagen,jeanne shift,316,30,45,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,three_quarter_sleeves,v_neckline
alexis,nakkita dress,495,41,195,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,long_sleeves,v_neckline
rebecca taylor,short sleeve kaleidoscope dress,495,53,84,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
lauren ralph lauren,floral georgette dress,155,30,12,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,long_sleeves,high_neckline
shoshanna,ari dress,418,55,45,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,three_quarter_sleeves,v_neckline
borgo de nor,gabrielle maxi,769,89,25,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,cap_sleeves,crew_neckline
ramy brook,carlie dress,445,75,21,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,high_neckline
nicholas,gathered sleeve dress,698,105,31,0,0,0,0,3,0,97,0,0,0,0,0,0,maxi,three_quarter_sleeves,v_neckline
shoshanna,almma dress,418,30,173,97,0,0,0,3,0,0,0,0,0,0,0,0,midi,sleeveless,square_neckline
jason wu,new meadow print dress,795,120,70,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,sleeveless,crew_neckline
diane von furstenberg,pink cecilia dress,348,33,67,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
fuzzi,floral pleated maxi,740,85,56,0,100,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
peter som collective,orange puff sleeve tiered dress,395,33,60,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,square_neckline
color me courtney,beau maxi,250,41,60,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,sweetheart_neckline
jonathan simkhai,yvonne one shoulder maxi,476,70,1,0,20,0,0,0,0,80,0,0,0,0,0,0,maxi,sleeveless,one_shoulder
la doublej,printed artemis dress,955,101,18,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,shirt_collar_neckline
fuzzi,strapless popover dress,535,80,74,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,strapless,straight_neckline
ulla johnson,indah dress,445,75,34,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,crew_neckline
tanya taylor,cynthia dress,545,61,204,97,0,0,0,3,0,0,0,0,0,0,0,0,maxi,short_sleeves,square_neckline
tory burch,meadow folly dress,398,60,77,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,off_shoulder_neckline
autumn adeigbo,della dress,555,53,35,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,square_neckline
ganni,black printed midi dress,235,40,16,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
carolina k,vall maxi,480,65,23,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
area stars,hudson geo print dress,198,30,20,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,long_sleeves,v_neckline
area stars,blue vine maxi,125,30,5,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,cap_sleeves,crew_neckline
reformation,black betty dress,118,30,45,0,0,0,0,5,95,0,0,0,0,0,0,0,maxi,short_sleeves,shirt_collar_neckline
sea new york,biarritz smocked midi dress,395,37,65,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,cap_sleeves,high_neckline
tanya taylor,glenda dress,575,53,87,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,square_neckline
ramy brook,hadley dress,395,37,45,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,v_neckline
la doublej,short and sassy dress,635,110,26,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,cap_sleeves,v_neckline
rixo,black zadie dress,326,30,53,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,three_quarter_sleeves,v_neckline
veronica beard,lila puff sleeve dress,595,88,80,0,0,0,91,9,0,0,0,0,0,0,0,0,mini,short_sleeves,crew_neckline
rebecca taylor,long sleeve leopard tie dress,695,69,55,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,long_sleeves,crew_neckline
rachel rachel roy,pierce dress,129,30,11,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,v_neckline
saloni,confetti isabel maxi,895,113,102,0,0,0,100,0,0,0,0,0,0,0,0,0,unknown,three_quarter_sleeves,crew_neckline
yumi kim,pretty women dress,218,30,16,0,0,0,0,0,0,100,0,0,0,0,0,0,midi,sleeveless,sweetheart_neckline
saloni,tilly-b dress,550,95,108,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,sleeveless,turtleneck
figue,printed clara dress,795,93,22,0,0,0,0,0,0,30,0,0,0,0,0,0,maxi,sleeveless,v_neckline
diane von furstenberg,joyce dress,348,60,29,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,long_sleeves,crew_neckline
shoshanna,yasmine tiered floral dress,418,45,70,0,0,0,0,0,0,91,0,0,0,0,9,0,midi,short_sleeves,v_neckline
rebecca taylor,sleeveless perla tank dress,595,57,42,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,sleeveless,scoop_neckline
vince.,mixed ditzy hibiscus dress,365,44,76,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,square_neckline
ulla johnson,pilar dress,445,49,14,70,0,0,0,0,0,30,0,0,0,0,0,0,maxi,cap_sleeves,v_neckline
rosie assoulin,balloon sleeve cocktail dress,1295,169,35,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,long_sleeves,off_shoulder_neckline
loveshackfancy,blue capri dress,425,37,28,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,three_quarter_sleeves,off_shoulder_neckline
lilly pulitzer,jasmyn maxi,248,30,83,99,0,0,0,1,0,0,0,0,0,0,0,0,unknown,sleeveless,sweetheart_neckline
misa los angeles,yasemin dress,348,40,111,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,long_sleeves,v_neckline
fuzzi,tree print midi dress,740,125,33,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
la vie rebecca taylor,long sleeve paint garden dress,295,35,57,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,long_sleeves,v_neckline
ronny kobo,carmel dress,398,60,55,0,23,0,0,0,0,24,0,0,0,0,0,0,midi,sleeveless,v_neckline
rebecca taylor,sleeveless magnolia dress,375,65,69,0,0,0,92,8,0,0,0,0,0,0,0,0,midi,sleeveless,v_neckline
ganni,green printed check dress,225,40,22,40,15,0,0,0,0,0,0,0,0,0,45,0,mini,short_sleeves,v_neckline
rails,frida high low dress,228,45,64,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,sleeveless,v_neckline
veronica beard,green lila dress,595,65,117,0,0,0,91,9,0,0,0,0,0,0,0,0,mini,short_sleeves,crew_neckline
lilly pulitzer,cristiana dress,228,30,35,0,0,0,0,5,0,0,0,0,0,0,95,0,mini,long_sleeves,v_neckline
lilly pulitzer,darla stretch dress,218,50,61,0,0,0,0,5,0,0,0,0,0,0,95,0,mini,short_sleeves,v_neckline
saloni,lea long dress,850,100,117,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
cleobella,bianca mini dress,208,30,34,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,long_sleeves,v_neckline
banjanan,isha dress,290,30,33,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,crew_neckline
farm rio,vintage floral maxi,235,30,153,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,off_shoulder_neckline
3.1 phillip lim,side tie flare dress,695,90,9,60,0,0,0,0,0,0,0,0,0,0,40,0,maxi,short_sleeves,turtleneck
parker,verity floral dress,398,60,78,0,0,0,53,0,0,47,0,0,0,0,0,0,midi,short_sleeves,v_neckline
saloni,red printed isa ruffle dress,695,96,77,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,long_sleeves,high_neckline
minkpink,between you and i midi dress,99,30,51,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
aldomartins,burge maxi,225,30,52,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,sleeveless,v_neckline
mara hoffman,printed leila dress,895,120,57,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
misa los angeles,snake print savanna dress,356,30,158,0,0,0,0,0,0,0,0,0,0,0,98,2,midi,long_sleeves,high_neckline
essentiel antwerp,vayen draped detail dress,460,80,18,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,three_quarter_sleeves,crew_neckline
jonathan simkhai,ella floral midi dress,495,53,30,0,0,0,0,2,0,43,55,0,0,0,0,0,maxi,long_sleeves,square_neckline
tibi,eco silk halter dress,850,101,47,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,sleeveless,halter
caroline constas,bardot maxi,795,176,71,97,0,0,0,3,0,0,0,0,0,0,0,0,maxi,short_sleeves,off_shoulder_neckline
misa los angeles,caterine dress,343,50,12,0,0,0,0,0,0,100,0,0,0,0,0,0,midi,sleeveless,v_neckline
warm,blue big love maxi,425,37,20,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,square_neckline
saloni,printed tilly ruffle dress,495,85,52,0,0,0,100,0,0,0,0,0,0,0,0,0,mini,three_quarter_sleeves,crew_neckline
rachel zoe,floral calvin dress,365,45,41,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,three_quarter_sleeves,high_neckline
club monaco,dark floral tiered dress,249,30,8,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
saylor,striped maliyah midi dress,338,50,34,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,cap_sleeves,v_neckline
victoria / tomas,blue striped shirt dress,850,145,27,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,sleeveless,shirt_collar_neckline
la vie rebecca taylor,sleeveless talita smock dress,295,30,88,97,0,0,0,0,0,0,0,0,0,0,0,3,maxi,sleeveless,square_neckline
parker,navy tangia dress,298,30,38,0,0,0,100,0,0,0,0,0,0,0,0,0,mini,cap_sleeves,v_neckline
jason wu collective,leopard print handkerchief dress,365,40,6,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,v_neckline
co,floral tiered dress,1295,195,66,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,cap_sleeves,high_neckline
derek lam 10 crosby,fatima dress,550,70,8,98,0,0,0,2,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
apiece apart,nissi tiers dress,395,65,22,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
mira mikati,gingham maxi,800,135,20,35,24,0,0,0,0,0,0,0,0,0,42,0,maxi,sleeveless,square_neckline
kate spade new york,garden seersucker dress,378,40,15,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,crew_neckline
temperley london,reef strappy dress,595,100,19,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,square_neckline
delfi collective,quinn dress,432,45,245,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,v_neckline
rhode,pink julia maxi,495,53,48,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,halter
rhode,lulani dress,545,49,43,0,0,0,0,0,0,84,0,0,0,0,16,0,maxi,short_sleeves,crew_neckline
jason wu collective,floral tie waist midi dress,425,75,50,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,long_sleeves,v_neckline
a.l.c.,taylor knit dress,350,65,4,78,19,0,0,3,0,0,0,0,0,0,0,0,maxi,sleeveless,shirt_collar_neckline
sweet baby jamie,floral smocked dress,276,30,136,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,long_sleeves,square_neckline
staud,demi dress,345,33,60,98,0,0,0,2,0,0,0,0,0,0,0,0,maxi,three_quarter_sleeves,v_neckline
stella jean,hawaiian collared maxi,935,170,8,97,0,0,0,3,0,0,0,0,0,0,0,0,unknown,long_sleeves,shirt_collar_neckline
sea new york,brooke border smocked dress,395,33,13,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,long_sleeves,crew_neckline
kate spade new york,black shirt dress,328,55,67,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,shirt_collar_neckline
show me your mumu,brooks babydoll dress,158,30,32,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,three_quarter_sleeves,turtleneck
red valentino,floral embroidered poplin dress,1575,201,83,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,halter
area stars,bahia dress,198,35,24,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
a.l.c.,mischa dress,495,45,39,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
ulla johnson,juniper puff sleeve dress,375,70,6,70,0,0,0,0,0,30,0,0,0,0,0,0,mini,short_sleeves,square_neckline
derek lam 10 crosby,sarong wrap cami dress,575,65,75,0,0,0,0,0,0,88,0,0,0,0,0,0,maxi,sleeveless,square_neckline
tanya taylor,nat dress,495,41,106,0,0,0,100,0,0,0,0,0,0,0,0,0,mini,three_quarter_sleeves,v_neckline
peter som collective,faux leather shirtdress,325,60,38,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,shirt_collar_neckline
ulla johnson,printed madeline dress,425,37,26,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,cap_sleeves,v_neckline
club monaco,casual stripe dress,170,30,46,0,0,0,0,0,100,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
gilner farrar,brooke leopard tie shirtdress,285,30,29,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,long_sleeves,shirt_collar_neckline
stine goya,francis dress,660,110,57,58,0,0,0,0,0,42,0,0,0,0,0,0,mini,long_sleeves,crew_neckline
autumn adeigbo,green printed chloe dress,745,85,57,97,0,0,0,3,0,0,0,0,0,0,0,0,maxi,sleeveless,square_neckline
draper james,navy floral flutter wrap dress,78,30,41,60,0,0,0,0,0,40,0,0,0,0,0,0,midi,cap_sleeves,v_neckline
trina turk,gene dress,348,55,29,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,v_neckline
nanushka,aube dress,345,60,46,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,shirt_collar_neckline
adam lippes collective,birds of prey dress,290,50,49,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,crew_neckline
cinq à sept,kourt pleated dress,395,33,17,0,0,0,0,13,0,0,0,0,0,0,87,0,maxi,long_sleeves,turtleneck
saloni,isabel polka dot dress,695,69,9,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,long_sleeves,crew_neckline
shoshanna,candela dress,460,49,56,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,v_neckline
rails,helena dress,188,30,101,0,0,0,0,0,0,30,0,0,0,0,0,0,mini,short_sleeves,v_neckline
nicholas,adele dress,595,65,98,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,square_neckline
jason wu,ruffle midi dress,550,70,5,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,square_neckline
color me courtney,melon minnie dress,240,40,116,97,0,0,0,3,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
"love, whit by whitney port",purple geo printed dress,315,30,100,0,0,0,0,10,0,0,0,0,0,0,90,0,midi,long_sleeves,v_neckline
warm,multi tie dye maxi,475,80,50,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,crew_neckline
nonchalant,dafne shirtdress,297,30,8,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,shirt_collar_neckline
solace london,printed marcie dress,480,49,212,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,short_sleeves,one_shoulder
diane von furstenberg,ana wrap dress,378,70,3,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,three_quarter_sleeves,v_neckline
emporio armani,blue layered swing dress,395,65,43,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,long_sleeves,turtleneck
thakoon collective,blue printed ruffle dress,315,55,82,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,v_neckline
trina turk,acros iris maxi,398,70,40,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,three_quarter_sleeves,v_neckline
rebecca minkoff,selandra dress,228,40,52,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,crew_neckline
rails,jasmine green dress,198,30,37,0,0,0,0,0,0,40,0,0,0,0,0,0,midi,long_sleeves,v_neckline
shoshanna,denim candelaria dress,425,30,63,27,0,0,0,0,0,41,0,0,0,0,29,0,maxi,short_sleeves,square_neckline
afrm,amina tie dye slip dress,78,30,71,0,0,0,0,5,0,0,0,0,0,0,95,0,maxi,sleeveless,v_neckline
madewell,short sleeve indigo shirtdress,98,30,28,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,short_sleeves,shirt_collar_neckline
derek lam collective,blue scribble tie midi dress,370,40,9,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,square_neckline
alexis,idony dress,394,37,40,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,three_quarter_sleeves,v_neckline
marni,orange floral short sleeve dress,1150,195,46,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,crew_neckline
shoshanna,kiriya velvet lace column dress,595,57,62,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,crew_neckline
slate & willow,floral tie waist mini dress,150,30,0,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,short_sleeves,scoop_neckline
miguelina,pink luce dress,445,75,12,0,0,0,0,0,0,0,100,0,0,0,0,0,midi,sleeveless,crew_neckline
derek lam collective,leaf twist front dress,340,45,12,97,0,0,0,3,0,0,0,0,0,0,0,0,mini,three_quarter_sleeves,v_neckline
badgley mischka,blue floral collared sheath,440,60,84,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,v_neckline
color me courtney,orange cutie maxi,250,55,32,97,0,0,0,3,0,0,0,0,0,0,0,0,maxi,sleeveless,sweetheart_neckline
hofmann copenhagen,elise dress,430,65,32,0,0,0,100,0,0,0,0,0,0,0,0,0,mini,long_sleeves,high_neckline
staud,crown polo dress,275,50,21,0,0,0,0,0,0,0,0,0,100,0,0,0,maxi,long_sleeves,shirt_collar_neckline
charli,leora sheath,235,40,48,0,14,0,0,0,0,64,0,0,0,0,0,22,maxi,sleeveless,v_neckline
simon miller,mawga asymmetric dress,275,30,5,0,0,0,0,8,0,92,0,0,0,0,0,0,maxi,sleeveless,assymetric_neckline
misa los angeles,pink johanna dress,350,55,19,49,0,0,0,0,0,51,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
rails,angelina dress,178,30,61,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,cap_sleeves,v_neckline
sandro,audrey dress,445,41,24,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,three_quarter_sleeves,v_neckline
rixo,steph midi dress,420,50,4,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
naadam,merino silk slip dress,275,50,1,0,0,0,25,0,0,0,0,0,75,0,0,0,midi,sleeveless,sweetheart_neckline
tanya taylor,liza wrap dress,795,93,110,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
shoshanna,plaid maura ruffle dress,395,65,89,0,0,0,0,4,0,28,0,0,0,0,68,0,mini,sleeveless,crew_neckline
misa los angeles,red katarina maxi,420,41,139,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,short_sleeves,v_neckline
maje,rappa dress,375,33,39,0,0,0,0,0,0,65,35,0,0,0,0,0,mini,short_sleeves,square_neckline
area stars,bella floral dress,148,30,3,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,cap_sleeves,square_neckline
derek lam 10 crosby,barbara twist dress,495,60,6,52,0,0,0,0,0,0,26,0,0,0,20,0,maxi,cap_sleeves,v_neckline
lilly pulitzer,edith midi dress,198,30,4,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,sweetheart_neckline
madewell,eyelet babydoll dress,138,30,11,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,square_neckline
allsaints,via harris dress,245,45,7,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,three_quarter_sleeves,v_neckline
tory burch,puff sleeve tunic,498,75,59,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,v_neckline
natori,black faux leather wrap dress,368,60,21,0,0,0,0,0,0,0,0,0,0,0,48,0,midi,short_sleeves,crew_neckline
rixo,camile ruffle mini dress,375,40,5,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,short_sleeves,square_neckline
zadig & voltaire,realize print maxi,528,90,36,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,long_sleeves,v_neckline
louna,rust tiered dress,260,40,50,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,square_neckline
jason wu collective,yellow floral midi dress,345,35,6,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,v_neckline
banjanan,yellow maurice dress,395,65,43,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,crew_neckline
